Time,Devicename,Temperature,TDS,PH,DO
Mon Jul 19 2021 20:26:27 GMT+0530 (India Standard Time),867378035207325,25.4375,124.9131,5.547552,3.23
Mon Jul 19 2021 20:27:31 GMT+0530 (India Standard Time),867378035207325,25.4375,124.8262,5.603037,3.06
Mon Jul 19 2021 20:28:36 GMT+0530 (India Standard Time),867378035207325,25.4375,125,5.658527,2.91
Mon Jul 19 2021 20:29:41 GMT+0530 (India Standard Time),867378035207325,25.4375,125,5.661788,2.78
Mon Jul 19 2021 20:30:45 GMT+0530 (India Standard Time),867378035207325,25.4375,125.6093,5.671579,2.66
Mon Jul 19 2021 20:31:50 GMT+0530 (India Standard Time),867378035207325,25.4375,125.3479,5.599776,2.56
Mon Jul 19 2021 20:32:55 GMT+0530 (India Standard Time),867378035207325,25.4375,125.8712,5.632412,2.48
Mon Jul 19 2021 20:33:59 GMT+0530 (India Standard Time),867378035207325,25.4375,125.8712,5.573661,2.41
Mon Jul 19 2021 20:35:04 GMT+0530 (India Standard Time),867378035207325,25.5,126.1335,5.616094,2.36
Mon Jul 19 2021 20:36:09 GMT+0530 (India Standard Time),867378035207325,25.5,126.046,5.655261,2.31
Mon Jul 19 2021 20:37:13 GMT+0530 (India Standard Time),867378035207325,25.5,126.7471,5.687902,2.26
Mon Jul 19 2021 20:38:18 GMT+0530 (India Standard Time),867378035207325,25.5,126.835,5.710746,2.22
Mon Jul 19 2021 20:39:22 GMT+0530 (India Standard Time),867378035207325,25.5,127.0988,5.671579,2.18
Mon Jul 19 2021 20:40:27 GMT+0530 (India Standard Time),867378035207325,25.5,126.9229,5.73033,2.14
Mon Jul 19 2021 20:41:31 GMT+0530 (India Standard Time),867378035207325,25.5,127.0108,5.684637,2.11
Mon Jul 19 2021 20:42:36 GMT+0530 (India Standard Time),867378035207325,25.5,127.1869,5.661788,2.09
Mon Jul 19 2021 20:43:41 GMT+0530 (India Standard Time),867378035207325,25.5,127.1869,5.62262,2.07
Mon Jul 19 2021 20:44:45 GMT+0530 (India Standard Time),867378035207325,25.5,127.275,5.635678,2.05
Mon Jul 19 2021 20:45:50 GMT+0530 (India Standard Time),867378035207325,25.5,128.0701,5.665053,2.03
Mon Jul 19 2021 20:46:55 GMT+0530 (India Standard Time),867378035207325,25.5,128.1586,5.674845,2.01
Mon Jul 19 2021 20:48:00 GMT+0530 (India Standard Time),867378035207325,25.5,127.7162,5.707486,1.99
Mon Jul 19 2021 20:49:04 GMT+0530 (India Standard Time),867378035207325,25.5625,127.7162,5.700954,1.97
Mon Jul 19 2021 20:50:09 GMT+0530 (India Standard Time),867378035207325,25.5625,127.8046,5.727069,1.96
Mon Jul 19 2021 20:51:14 GMT+0530 (India Standard Time),867378035207325,25.5,127.8046,5.684637,1.94
Mon Jul 19 2021 20:52:18 GMT+0530 (India Standard Time),867378035207325,25.5625,127.7162,5.73033,1.92
Mon Jul 19 2021 20:53:23 GMT+0530 (India Standard Time),867378035207325,25.5625,127.7162,5.740122,1.92
Mon Jul 19 2021 20:54:27 GMT+0530 (India Standard Time),867378035207325,25.5625,128.1586,5.710746,1.9
Mon Jul 19 2021 20:55:32 GMT+0530 (India Standard Time),867378035207325,25.5625,128.4247,5.694428,1.89
Mon Jul 19 2021 20:56:36 GMT+0530 (India Standard Time),867378035207325,25.5625,128.2473,5.694428,1.87
Mon Jul 19 2021 20:57:40 GMT+0530 (India Standard Time),867378035207325,25.5625,127.9815,5.697694,1.86
Mon Jul 19 2021 20:58:45 GMT+0530 (India Standard Time),867378035207325,25.5625,128.5135,5.70422,1.85
Mon Jul 19 2021 20:59:49 GMT+0530 (India Standard Time),867378035207325,25.5625,128.4247,5.661788,1.84
Mon Jul 19 2021 21:00:54 GMT+0530 (India Standard Time),867378035207325,25.5625,128.5135,5.576927,1.82
Mon Jul 19 2021 21:01:58 GMT+0530 (India Standard Time),867378035207325,25.5625,128.5135,5.684637,1.81
Mon Jul 19 2021 21:03:03 GMT+0530 (India Standard Time),867378035207325,25.5625,128.6912,5.62262,1.81
Mon Jul 19 2021 21:04:07 GMT+0530 (India Standard Time),867378035207325,25.5625,129.0472,5.661788,1.79
Mon Jul 19 2021 21:05:12 GMT+0530 (India Standard Time),867378035207325,25.5625,128.7801,5.648735,1.78
Mon Jul 19 2021 21:06:17 GMT+0530 (India Standard Time),867378035207325,25.625,129.2255,5.723804,1.77
Mon Jul 19 2021 21:07:22 GMT+0530 (India Standard Time),867378035207325,25.625,129.2255,5.665053,1.76
Mon Jul 19 2021 21:08:27 GMT+0530 (India Standard Time),867378035207325,25.625,129.404,5.658527,1.75
Mon Jul 19 2021 21:09:31 GMT+0530 (India Standard Time),867378035207325,25.625,129.1363,5.665053,1.75
Mon Jul 19 2021 21:10:35 GMT+0530 (India Standard Time),867378035207325,25.625,129.1363,5.472483,1.74
Mon Jul 19 2021 21:11:39 GMT+0530 (India Standard Time),867378035207325,25.625,129.8511,5.534494,1.74
Mon Jul 19 2021 21:12:44 GMT+0530 (India Standard Time),867378035207325,25.625,129.0472,5.603037,1.74
Mon Jul 19 2021 21:13:48 GMT+0530 (India Standard Time),867378035207325,25.625,130.0303,5.665053,1.74
Mon Jul 19 2021 21:14:53 GMT+0530 (India Standard Time),867378035207325,25.625,129.7616,5.648735,1.74
Mon Jul 19 2021 21:15:57 GMT+0530 (India Standard Time),867378035207325,25.625,129.404,5.599776,1.74
Mon Jul 19 2021 21:17:01 GMT+0530 (India Standard Time),867378035207325,25.625,129.9406,5.61936,1.74
Mon Jul 19 2021 21:18:05 GMT+0530 (India Standard Time),867378035207325,25.625,130.1199,5.606302,1.74
Mon Jul 19 2021 21:19:10 GMT+0530 (India Standard Time),867378035207325,25.625,129.5827,5.459425,1.74
Mon Jul 19 2021 21:20:15 GMT+0530 (India Standard Time),867378035207325,25.625,129.8511,5.612829,1.74
Mon Jul 19 2021 21:21:19 GMT+0530 (India Standard Time),867378035207325,25.625,129.9406,5.570401,1.75
Mon Jul 19 2021 21:22:23 GMT+0530 (India Standard Time),867378035207325,25.625,130.569,5.642204,1.76
Mon Jul 19 2021 21:23:27 GMT+0530 (India Standard Time),867378035207325,25.625,130.0303,5.51165,1.76
Mon Jul 19 2021 21:24:32 GMT+0530 (India Standard Time),867378035207325,25.6875,130.2097,5.492066,1.76
Mon Jul 19 2021 21:25:36 GMT+0530 (India Standard Time),867378035207325,25.625,130.2994,5.56387,1.76
Mon Jul 19 2021 21:26:41 GMT+0530 (India Standard Time),867378035207325,25.6875,130.1199,5.505119,1.76
Mon Jul 19 2021 21:27:45 GMT+0530 (India Standard Time),867378035207325,25.625,130.1199,5.534494,1.77
Mon Jul 19 2021 21:28:49 GMT+0530 (India Standard Time),867378035207325,25.6875,130.2097,5.485535,1.8
Mon Jul 19 2021 21:29:53 GMT+0530 (India Standard Time),867378035207325,25.6875,130.4791,5.518176,1.83
Mon Jul 19 2021 21:30:58 GMT+0530 (India Standard Time),867378035207325,25.6875,130.1199,5.531233,1.86
Mon Jul 19 2021 21:32:02 GMT+0530 (India Standard Time),867378035207325,25.6875,130.569,5.495327,1.89
Mon Jul 19 2021 21:33:07 GMT+0530 (India Standard Time),867378035207325,25.6875,131.2902,5.527968,1.91
Mon Jul 19 2021 21:34:11 GMT+0530 (India Standard Time),867378035207325,25.6875,130.659,5.469217,1.94
Mon Jul 19 2021 21:35:15 GMT+0530 (India Standard Time),867378035207325,25.6875,130.4791,5.642204,1.96
Mon Jul 19 2021 21:36:19 GMT+0530 (India Standard Time),867378035207325,25.6875,130.659,5.498593,1.98
Mon Jul 19 2021 21:37:24 GMT+0530 (India Standard Time),867378035207325,25.6875,130.569,5.495327,2
Mon Jul 19 2021 21:38:29 GMT+0530 (India Standard Time),867378035207325,25.6875,131.3806,5.472483,2.01
Mon Jul 19 2021 21:39:33 GMT+0530 (India Standard Time),867378035207325,25.6875,130.569,5.616094,2.03
Mon Jul 19 2021 21:40:38 GMT+0530 (India Standard Time),867378035207325,25.6875,131.3806,5.492066,2.05
Mon Jul 19 2021 21:41:43 GMT+0530 (India Standard Time),867378035207325,25.6875,131.0194,5.501858,2.08
Mon Jul 19 2021 21:42:48 GMT+0530 (India Standard Time),867378035207325,25.6875,131.0194,5.472483,2.11
Mon Jul 19 2021 21:43:52 GMT+0530 (India Standard Time),867378035207325,25.6875,131.0194,5.501858,2.14
Mon Jul 19 2021 21:44:56 GMT+0530 (India Standard Time),867378035207325,25.6875,130.8391,5.358242,2.17
Mon Jul 19 2021 21:46:01 GMT+0530 (India Standard Time),867378035207325,25.6875,131.0194,5.475744,2.2
Mon Jul 19 2021 21:47:05 GMT+0530 (India Standard Time),867378035207325,25.6875,131.8332,5.436576,2.22
Mon Jul 19 2021 21:48:10 GMT+0530 (India Standard Time),867378035207325,25.6875,131.0194,5.53776,2.25
Mon Jul 19 2021 21:49:15 GMT+0530 (India Standard Time),867378035207325,25.6875,131.5615,5.475744,2.27
Mon Jul 19 2021 21:50:19 GMT+0530 (India Standard Time),867378035207325,25.6875,131.2902,5.439842,2.29
Mon Jul 19 2021 21:51:23 GMT+0530 (India Standard Time),867378035207325,25.75,131.471,5.593245,2.31
Mon Jul 19 2021 21:52:28 GMT+0530 (India Standard Time),867378035207325,25.75,131.8332,5.45616,2.33
Mon Jul 19 2021 21:53:32 GMT+0530 (India Standard Time),867378035207325,25.6875,131.9239,5.576927,2.35
Mon Jul 19 2021 21:54:37 GMT+0530 (India Standard Time),867378035207325,25.75,131.2902,5.492066,2.37
Mon Jul 19 2021 21:55:41 GMT+0530 (India Standard Time),867378035207325,25.75,131.7426,5.534494,2.38
Mon Jul 19 2021 21:56:46 GMT+0530 (India Standard Time),867378035207325,25.75,131.652,5.550817,2.4
Mon Jul 19 2021 21:57:50 GMT+0530 (India Standard Time),867378035207325,25.75,131.9239,5.45616,2.4
Mon Jul 19 2021 21:58:55 GMT+0530 (India Standard Time),867378035207325,25.75,131.7426,5.524703,2.42
Mon Jul 19 2021 21:59:59 GMT+0530 (India Standard Time),867378035207325,25.75,131.471,5.436576,2.43
Mon Jul 19 2021 22:01:03 GMT+0530 (India Standard Time),867378035207325,25.75,131.652,5.325606,2.45
Mon Jul 19 2021 22:02:08 GMT+0530 (India Standard Time),867378035207325,25.75,131.7426,5.452899,2.49
Mon Jul 19 2021 22:03:13 GMT+0530 (India Standard Time),867378035207325,25.75,132.378,5.368034,2.52
Mon Jul 19 2021 22:04:17 GMT+0530 (India Standard Time),867378035207325,25.75,131.8332,5.570401,2.55
Mon Jul 19 2021 22:05:21 GMT+0530 (India Standard Time),867378035207325,25.75,131.7426,5.394149,2.57
Mon Jul 19 2021 22:06:26 GMT+0530 (India Standard Time),867378035207325,25.75,131.471,5.501858,2.61
Mon Jul 19 2021 22:07:31 GMT+0530 (India Standard Time),867378035207325,25.75,131.471,5.449634,2.63
Mon Jul 19 2021 22:08:35 GMT+0530 (India Standard Time),867378035207325,25.75,131.652,5.423524,2.65
Mon Jul 19 2021 22:09:40 GMT+0530 (India Standard Time),867378035207325,25.75,131.652,5.322341,2.67
Mon Jul 19 2021 22:10:45 GMT+0530 (India Standard Time),867378035207325,25.75,132.0146,5.443108,2.7
Mon Jul 19 2021 22:11:49 GMT+0530 (India Standard Time),867378035207325,25.75,132.0146,5.43005,2.72
Mon Jul 19 2021 22:12:53 GMT+0530 (India Standard Time),867378035207325,25.75,132.56,5.462691,2.75
Mon Jul 19 2021 22:13:57 GMT+0530 (India Standard Time),867378035207325,25.75,132.0146,5.377826,2.78
Mon Jul 19 2021 22:15:02 GMT+0530 (India Standard Time),867378035207325,25.75,132.2871,5.390883,2.79
Mon Jul 19 2021 22:16:06 GMT+0530 (India Standard Time),867378035207325,25.75,132.1054,5.518176,2.78
Mon Jul 19 2021 22:17:10 GMT+0530 (India Standard Time),867378035207325,25.75,132.8334,5.43005,2.77
Mon Jul 19 2021 22:18:15 GMT+0530 (India Standard Time),867378035207325,25.75,132.0146,5.384357,2.75
Mon Jul 19 2021 22:19:19 GMT+0530 (India Standard Time),867378035207325,25.8125,132.1054,5.446368,2.73
Mon Jul 19 2021 22:20:24 GMT+0530 (India Standard Time),867378035207325,25.75,132.0146,5.335398,2.69
Mon Jul 19 2021 22:21:29 GMT+0530 (India Standard Time),867378035207325,25.75,132.1054,5.328867,2.66
Mon Jul 19 2021 22:22:34 GMT+0530 (India Standard Time),867378035207325,25.8125,132.469,5.514911,2.64
Mon Jul 19 2021 22:23:39 GMT+0530 (India Standard Time),867378035207325,25.75,132.469,5.315815,2.62
Mon Jul 19 2021 22:24:44 GMT+0530 (India Standard Time),867378035207325,25.8125,132.0146,5.570401,2.6
Mon Jul 19 2021 22:25:49 GMT+0530 (India Standard Time),867378035207325,25.8125,132.6511,5.390883,2.58
Mon Jul 19 2021 22:26:53 GMT+0530 (India Standard Time),867378035207325,25.8125,132.378,5.492066,2.57
Mon Jul 19 2021 22:27:57 GMT+0530 (India Standard Time),867378035207325,25.8125,132.6511,5.443108,2.56
Mon Jul 19 2021 22:29:02 GMT+0530 (India Standard Time),867378035207325,25.8125,132.469,5.338659,2.55
Mon Jul 19 2021 22:30:06 GMT+0530 (India Standard Time),867378035207325,25.8125,132.9247,5.492066,2.55
Mon Jul 19 2021 22:31:11 GMT+0530 (India Standard Time),867378035207325,25.75,132.9247,5.433316,2.54
Mon Jul 19 2021 22:32:15 GMT+0530 (India Standard Time),867378035207325,25.8125,131.9239,5.43005,2.54
Mon Jul 19 2021 22:33:19 GMT+0530 (India Standard Time),867378035207325,25.8125,132.9247,5.459425,2.53
Mon Jul 19 2021 22:34:24 GMT+0530 (India Standard Time),867378035207325,25.8125,132.9247,5.488801,2.53
Mon Jul 19 2021 22:35:29 GMT+0530 (India Standard Time),867378035207325,25.8125,132.56,5.452899,2.53
Mon Jul 19 2021 22:36:34 GMT+0530 (India Standard Time),867378035207325,25.8125,133.1987,5.475744,2.52
Mon Jul 19 2021 22:37:38 GMT+0530 (India Standard Time),867378035207325,25.8125,133.1073,5.544286,2.52
Mon Jul 19 2021 22:38:43 GMT+0530 (India Standard Time),867378035207325,25.8125,132.7422,5.397409,2.51
Mon Jul 19 2021 22:39:47 GMT+0530 (India Standard Time),867378035207325,25.8125,132.8334,5.364773,2.5
Mon Jul 19 2021 22:40:51 GMT+0530 (India Standard Time),867378035207325,25.8125,133.0159,5.469217,2.51
Mon Jul 19 2021 22:41:56 GMT+0530 (India Standard Time),867378035207325,25.8125,132.9247,5.469217,2.53
Mon Jul 19 2021 22:43:00 GMT+0530 (India Standard Time),867378035207325,25.8125,133.1073,5.479009,2.54
Mon Jul 19 2021 22:44:05 GMT+0530 (India Standard Time),867378035207325,25.8125,132.9247,5.325606,2.55
Mon Jul 19 2021 22:45:09 GMT+0530 (India Standard Time),867378035207325,25.8125,132.9247,5.423524,2.57
Mon Jul 19 2021 22:46:13 GMT+0530 (India Standard Time),867378035207325,25.8125,132.6511,5.319075,2.59
Mon Jul 19 2021 22:47:17 GMT+0530 (India Standard Time),867378035207325,25.8125,132.9247,5.416993,2.61
Mon Jul 19 2021 22:48:22 GMT+0530 (India Standard Time),867378035207325,25.8125,132.6511,5.286439,2.63
Mon Jul 19 2021 22:49:26 GMT+0530 (India Standard Time),867378035207325,25.8125,133.5648,5.449634,2.66
Mon Jul 19 2021 22:50:30 GMT+0530 (India Standard Time),867378035207325,25.8125,133.0159,5.387618,2.67
Mon Jul 19 2021 22:51:35 GMT+0530 (India Standard Time),867378035207325,25.8125,132.9247,5.462691,2.69
Mon Jul 19 2021 22:52:39 GMT+0530 (India Standard Time),867378035207325,25.8125,133.3816,5.358242,2.71
Mon Jul 19 2021 22:53:43 GMT+0530 (India Standard Time),867378035207325,25.8125,132.9247,5.433316,2.73
Mon Jul 19 2021 22:54:48 GMT+0530 (India Standard Time),867378035207325,25.8125,133.3816,5.325606,2.75
Mon Jul 19 2021 22:55:53 GMT+0530 (India Standard Time),867378035207325,25.8125,132.9247,5.377826,2.76
Mon Jul 19 2021 22:56:58 GMT+0530 (India Standard Time),867378035207325,25.8125,133.3816,5.381091,2.75
Mon Jul 19 2021 22:58:02 GMT+0530 (India Standard Time),867378035207325,25.8125,133.0159,5.364773,2.73
Mon Jul 19 2021 22:59:06 GMT+0530 (India Standard Time),867378035207325,25.8125,133.9317,5.387618,2.7
Mon Jul 19 2021 23:00:10 GMT+0530 (India Standard Time),867378035207325,25.8125,133.1987,5.377826,2.65
Mon Jul 19 2021 23:01:15 GMT+0530 (India Standard Time),867378035207325,25.8125,133.3816,5.368034,2.61
Mon Jul 19 2021 23:02:20 GMT+0530 (India Standard Time),867378035207325,25.8125,133.3816,5.296231,2.56
Mon Jul 19 2021 23:03:25 GMT+0530 (India Standard Time),867378035207325,25.8125,133.1073,5.508384,2.5
Mon Jul 19 2021 23:04:30 GMT+0530 (India Standard Time),867378035207325,25.8125,133.1073,5.332132,2.43
Mon Jul 19 2021 23:05:34 GMT+0530 (India Standard Time),867378035207325,25.8125,133.1987,5.3713,2.36
Mon Jul 19 2021 23:06:39 GMT+0530 (India Standard Time),867378035207325,25.8125,133.0159,5.426785,2.3
Mon Jul 19 2021 23:07:44 GMT+0530 (India Standard Time),867378035207325,25.8125,133.3816,5.351716,2.24
Mon Jul 19 2021 23:08:49 GMT+0530 (India Standard Time),867378035207325,25.8125,133.5648,5.368034,2.18
Mon Jul 19 2021 23:09:53 GMT+0530 (India Standard Time),867378035207325,25.8125,133.3816,5.410467,2.13
Mon Jul 19 2021 23:10:58 GMT+0530 (India Standard Time),867378035207325,25.8125,133.4732,5.348451,2.1
Mon Jul 19 2021 23:12:03 GMT+0530 (India Standard Time),867378035207325,25.8125,133.1987,5.361508,2.11
Mon Jul 19 2021 23:13:07 GMT+0530 (India Standard Time),867378035207325,25.8125,133.5648,5.332132,2.16
Mon Jul 19 2021 23:14:12 GMT+0530 (India Standard Time),867378035207325,25.8125,133.3816,5.322341,2.22
Mon Jul 19 2021 23:15:16 GMT+0530 (India Standard Time),867378035207325,25.8125,133.4732,5.276647,2.27
Mon Jul 19 2021 23:16:21 GMT+0530 (India Standard Time),867378035207325,25.8125,133.9317,5.328867,2.3
Mon Jul 19 2021 23:17:26 GMT+0530 (India Standard Time),867378035207325,25.8125,133.4732,5.397409,2.29
Mon Jul 19 2021 23:18:30 GMT+0530 (India Standard Time),867378035207325,25.8125,133.5648,5.354981,2.29
Mon Jul 19 2021 23:19:35 GMT+0530 (India Standard Time),867378035207325,25.8125,133.4732,5.286439,2.27
Mon Jul 19 2021 23:20:40 GMT+0530 (India Standard Time),867378035207325,25.8125,133.5648,5.270116,2.27
Mon Jul 19 2021 23:21:44 GMT+0530 (India Standard Time),867378035207325,25.8125,133.1987,5.240741,2.3
Mon Jul 19 2021 23:22:48 GMT+0530 (India Standard Time),867378035207325,25.8125,133.7481,5.34519,2.35
Mon Jul 19 2021 23:23:53 GMT+0530 (India Standard Time),867378035207325,25.8125,131.0194,5.276647,2.39
Mon Jul 19 2021 23:24:58 GMT+0530 (India Standard Time),867378035207325,25.8125,133.4732,5.276647,2.44
Mon Jul 19 2021 23:26:02 GMT+0530 (India Standard Time),867378035207325,25.8125,133.8399,5.325606,2.47
Mon Jul 19 2021 23:27:07 GMT+0530 (India Standard Time),867378035207325,25.8125,134.2994,5.309283,2.5
Mon Jul 19 2021 23:28:11 GMT+0530 (India Standard Time),867378035207325,25.8125,133.9317,5.368034,2.51
Mon Jul 19 2021 23:29:15 GMT+0530 (India Standard Time),867378035207325,25.8125,133.4732,5.286439,2.5
Mon Jul 19 2021 23:30:20 GMT+0530 (India Standard Time),867378035207325,25.8125,133.7481,5.296231,2.47
Mon Jul 19 2021 23:31:25 GMT+0530 (India Standard Time),867378035207325,25.8125,133.4732,5.312549,2.46
Mon Jul 19 2021 23:32:30 GMT+0530 (India Standard Time),867378035207325,25.8125,133.5648,5.299491,2.46
Mon Jul 19 2021 23:33:35 GMT+0530 (India Standard Time),867378035207325,25.8125,134.2074,5.407201,2.45
Mon Jul 19 2021 23:34:39 GMT+0530 (India Standard Time),867378035207325,25.8125,134.2074,5.335398,2.47
Mon Jul 19 2021 23:35:44 GMT+0530 (India Standard Time),867378035207325,25.8125,133.8399,5.306023,2.48
Mon Jul 19 2021 23:36:49 GMT+0530 (India Standard Time),867378035207325,25.8125,133.3816,5.508384,2.51
Mon Jul 19 2021 23:37:53 GMT+0530 (India Standard Time),867378035207325,25.8125,133.5648,5.276647,2.55
Mon Jul 19 2021 23:38:58 GMT+0530 (India Standard Time),867378035207325,25.8125,134.2994,5.296231,2.59
Mon Jul 19 2021 23:40:02 GMT+0530 (India Standard Time),867378035207325,25.8125,134.3915,5.299491,2.62
Mon Jul 19 2021 23:41:07 GMT+0530 (India Standard Time),867378035207325,25.8125,133.8399,5.221157,2.66
Mon Jul 19 2021 23:42:11 GMT+0530 (India Standard Time),867378035207325,25.8125,134.3915,5.361508,2.7
Mon Jul 19 2021 23:43:15 GMT+0530 (India Standard Time),867378035207325,25.8125,134.1154,5.319075,2.73
Mon Jul 19 2021 23:44:20 GMT+0530 (India Standard Time),867378035207325,25.8125,133.9317,5.319075,2.74
